"Source:","/home/dwblair/gitwork/dippy-slim/ver3/dippy.sch"
"Date:","Wed 14 Oct 2020 07:49:53 AM EDT"
"Tool:","Eeschema 5.1.6-c6e7f7d~87~ubuntu18.04.1"
"Component Count:","37"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"AT1","Conn_01x01_Female","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~","",""
"C1","0.1u","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"C2","0.1u","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"C3","0.1u","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"C4","0.1u","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"C5","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","",""
"C6","0.1uF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"D1","LED","LED_THT:LED_D5.0mm","~","",""
"FTDI1","Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~","",""
"H1","MountingHole","MountingHole:MountingHole_2.7mm_M2.5","~","",""
"H2","MountingHole","MountingHole:MountingHole_2.7mm_M2.5","~","",""
"H3","MountingHole","MountingHole:MountingHole_2.7mm_M2.5","~","",""
"H4","MountingHole","MountingHole:MountingHole_2.7mm_M2.5","~","",""
"J1","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","~","",""
"J2","Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","~","",""
"J3","Screw_Terminal_01x05","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-5-5.0-H_1x05_P5.00mm_Horizontal","~","",""
"J4","Conn_Coaxial","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"," ~","",""
"J5","Conn_02x03_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical_SMD","~","",""
"J6","Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","",""
"J7","Conn_01x05_Female","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","",""
"J8","Screw_Terminal_01x04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal","~","",""
"J9","Conn_01x03_Female","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","",""
"J10","Conn_01x05_Female","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","",""
"R1","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R2","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R3","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R4","10M","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R5","10M","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R6","300R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R7","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R8","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R9","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"SW1","SW_Push_Dual","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","~","",""
"U1","ATmega328P-PU-C","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8025-8-bit-AVR-Microcontroller-ATmega48P-88P-168P_Datasheet.pdf","",""
"U2","RFM95W-915S2","footprints:RFM95","https://www.hoperf.com/data/upload/portal/20181127/5bfcbea20e9ef.pdf","",""
"U3","MCP1700-3302E_TO92","Package_TO_SOT_THT:TO-92_Wide","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf","",""
"Y1","Crystal","Crystal:Resonator-2Pin_W10.0mm_H5.0mm","~","",""
